entry,name,Volume,sound1,sound2,sound3,sound4,sound5,sound6,sound7,sound8,sound9,sound10,Path
146,Sword1H_ArmorChainCritical,0.75,m1hSwordHitChainCrit.ogg,,,,,,,,,,Sound\Item\Weapons\Sword1H
147,Sword1H_ArmorPlate,0.75,m1hSwordHitPlate1a.ogg,m1hSwordHitPlate1b.ogg,m1hSwordHitPlate1c.ogg,,,,,,,,Sound\Item\Weapons\Sword1H
148,Sword1H_ArmorPlateCritical,0.75,m1hSwordHitPlateCrit.ogg,,,,,,,,,,Sound\Item\Weapons\Sword1H
149,Sword1H_ShieldMetal,0.75,m1hSwordHitMetalShield1a.ogg,m1hSwordHitMetalShield1b.ogg,m1hSwordHitMetalShield1c.ogg,,,,,,,,Sound\Item\Weapons\Sword1H
150,Sword1H_ShieldMetalCtitical,0.75,m1hSwordHitMetalShieldCrit.ogg,,,,,,,,,,Sound\Item\Weapons\Sword1H
151,Sword1H_ShieldWood,0.75,m1hSwordHitMetalShield1a.ogg,m1hSwordHitMetalShield1b.ogg,m1hSwordHitMetalShield1c.ogg,,,,,,,,Sound\Item\Weapons\Sword1H
152,Sword1H_ShieldWoodCritical,0.75,m1hSwordHitMetalShield1a.ogg,m1hSwordHitMetalShield1b.ogg,m1hSwordHitMetalShield1c.ogg,,,,,,,,Sound\Item\Weapons\Sword1H
153,Sword1H_WeaponMetal,0.75,m1hSwordHitMetalWeapon1a.ogg,,,,,,,,,,Sound\Item\Weapons\Sword1H
154,Sword1H_WeaponMetalCtitical,0.75,m1hSwordHitMetalWeaponCrit.ogg,,,,,,,,,,Sound\Item\Weapons\Sword1H
155,Sword1H_WeaponWood,0.75,m1hSwordHitMetalWeapon1a.ogg,,,,,,,,,,Sound\Item\Weapons\Sword1H
156,Sword1H_WeaponWoodCritical,0.75,m1hSwordHitMetalWeapon1a.ogg,,,,,,,,,,Sound\Item\Weapons\Sword1H
157,Axe2H_ArmorFlesh,0.75,m2hAxeHitFlesh1a.ogg,m2hAxeHitFlesh1b.ogg,m2hAxeHitFlesh1c.ogg,,,,,,,,sound\item\weapons\axe2h
158,Axe2H_ArmorFleshCritical,0.75,m2hAxeHitFleshCrit.ogg,,,,,,,,,,sound\item\weapons\axe2h
159,Axe2H_ArmorChain,0.75,m2hAxeHitChain1a.ogg,m2hAxeHitChain1b.ogg,m2hAxeHitChain1c.ogg,,,,,,,,Sound\Item\Weapons\Axe2H
160,Axe2H_ArmorChainCritical,0.75,m2hAxeHitChainCrit.ogg,,,,,,,,,,Sound\Item\Weapons\Axe2H
161,Axe2H_ArmorPlate,0.75,m2hAxeHitPlate1a.ogg,m2hAxeHitPlate1b.ogg,m2hAxeHitPlate1c.ogg,,,,,,,,Sound\Item\Weapons\Axe2H
162,Axe2H_ArmorPlateCritical,0.75,m2hAxeHitPlateCrit.ogg,,,,,,,,,,Sound\Item\Weapons\Axe2H
163,Axe2H_ShieldMetal,0.75,m2hAxeHitMetalShield1a.ogg,m2hAxeHitMetalShield1b.ogg,m2hAxeHitMetalShield1c.ogg,,,,,,,,Sound\Item\Weapons\Axe2H
164,Axe2H_ShieldMetalCritical,0.75,m2hAxeHitMetalShieldCrit.ogg,,,,,,,,,,Sound\Item\Weapons\Axe2H
165,Axe2H_ShieldWood,0.75,m2hAxeHitMetalShield1a.ogg,m2hAxeHitMetalShield1b.ogg,m2hAxeHitMetalShield1c.ogg,,,,,,,,Sound\Item\Weapons\Axe2H
166,Axe2H_ShieldWoodCritical,0.75,m2hAxeHitMetalShield1a.ogg,m2hAxeHitMetalShield1b.ogg,m2hAxeHitMetalShield1c.ogg,,,,,,,,Sound\Item\Weapons\Axe2H
167,Axe2H_WeaponMetal,0.75,m2hAxeHitMetalWeapon1a.ogg,,,,,,,,,,Sound\Item\Weapons\Axe2H
168,Axe2H_WeaponMetalCritical,0.75,m2hAxeHitMetalWeaponCrit.ogg,,,,,,,,,,Sound\Item\Weapons\Axe2H
169,Axe2H_WeaponWood,0.75,m2hAxeHitMetalWeapon1a.ogg,,,,,,,,,,Sound\Item\Weapons\Axe2H
170,Axe2H_WeaponWoodCritical,0.75,m2hAxeHitMetalWeapon1a.ogg,,,,,,,,,,Sound\Item\Weapons\Axe2H
171,Axe1H_ArmorFlesh,0.50,m1hAxeHitFlesh1a.ogg,m1hAxeHitFlesh1b.ogg,m1hAxeHitFlesh1c.ogg,,,,,,,,sound\item\weapons\axe1h
172,Axe1H_ArmorFleshCritical,0.50,m1hAxeHitFleshCrit.ogg,,,,,,,,,,sound\item\weapons\axe1h
173,Axe1H_ArmorChain,0.75,m1hAxeHitChain1a.ogg,m1hAxeHitChain1b.ogg,m1hAxeHitChain1c.ogg,,,,,,,,Sound\Item\Weapons\Axe1H
174,Axe1H_ArmorChainCritical,0.75,m1hAxeHitChainCrit.ogg,,,,,,,,,,Sound\Item\Weapons\Axe1H
175,Axe1H_ArmorPlate,0.75,m1hAxeHitPlate1a.ogg,m1hAxeHitPlate1b.ogg,m1hAxeHitPlate1c.ogg,,,,,,,,Sound\Item\Weapons\Axe1H
176,Axe1H_ArmorPlateCritical,0.75,m1hAxeHitPlateCrit.ogg,,,,,,,,,,Sound\Item\Weapons\Axe1H
177,Axe1H_ShieldMetal,0.75,m1hAxeHitMetalShield1a.ogg,m1hAxeHitMetalShield1b.ogg,m1hAxeHitMetalShield1c.ogg,,,,,,,,Sound\Item\Weapons\Axe1H
178,Axe1H_ShieldMetalCritical,0.75,m1hAxeHitMetalShieldCrit.ogg,,,,,,,,,,Sound\Item\Weapons\Axe1H
179,Axe1H_ShieldWood,0.75,m1hAxeHitMetalShield1a.ogg,m1hAxeHitMetalShield1b.ogg,m1hAxeHitMetalShield1c.ogg,,,,,,,,Sound\Item\Weapons\Axe1H
180,Axe1H_ShieldWoodCritical,0.75,m1hAxeHitMetalShield1a.ogg,m1hAxeHitMetalShield1b.ogg,m1hAxeHitMetalShield1c.ogg,,,,,,,,Sound\Item\Weapons\Axe1H
181,Axe1H_WeaponMetal,0.75,m1hAxeHitMetalWeapon1a.ogg,,,,,,,,,,Sound\Item\Weapons\Axe1H
182,Axe1H_WeaponMetalCritical,0.75,m1hAxeHitMetalWeaponCrit.ogg,,,,,,,,,,Sound\Item\Weapons\Axe1H
183,Axe1H_WeaponWood,0.75,m1hAxeHitMetalWeapon1a.ogg,,,,,,,,,,Sound\Item\Weapons\Axe1H
184,Axe1H_WeaponWoodCritical,0.75,m1hAxeHitMetalWeapon1a.ogg,,,,,,,,,,Sound\Item\Weapons\Axe1H
186,HumanMaleCombatExertionCritical,1.00,HumanMaleAttackA.ogg,HumanMaleAttackB.ogg,HumanMaleAttackC.ogg,HumanMaleAttackD.ogg,,,,,,,Sound\Character\Human\Male
193,HumanFemaleCombatExertion,1.00,mHumanFemaleAttackVoxA.ogg,mHumanFemaleAttackVoxB.ogg,mHumanFemaleAttackVoxC.ogg,mHumanFemaleAttackVoxD.ogg,mHumanFemaleAttackVoxE.ogg,,,,,,Sound\Character\Human\Female
195,HumanFemaleCombatInjury,1.00,mHumanFemaleWoundVoxA.ogg,mHumanFemaleWoundVoxB.ogg,mHumanFemaleWoundVoxC.ogg,,,,,,,,Sound\Character\Human\Female
196,HumanFemaleCombatInjuryCritical,1.00,mHumanFemaleWoundVoxA.ogg,mHumanFemaleWoundVoxB.ogg,mHumanFemaleWoundVoxC.ogg,,,,,,,,Sound\Character\Human\Female
197,HumanFemaleCombatDeath,1.00,mHumanFemaleDeathVoxA.ogg,,,,,,,,,,Sound\Character\Human\Female
209,OrcFemaleCombatExertion,1.00,mOrcFemaleAttackVoxA.ogg,mOrcFemaleAttackVoxB.ogg,mOrcFemaleAttackVoxC.ogg,,,,,,,,Sound\Character\Orc\Female
210,OrcFemaleCombatExertionCritical,1.00,mOrcFemaleAttackVoxA.ogg,mOrcFemaleAttackVoxB.ogg,mOrcFemaleAttackVoxC.ogg,,,,,,,,Sound\Character\Orc\Female
211,OrcFemaleCombatInjury,1.00,mOrcFemaleWoundVoxA.ogg,mOrcFemaleWoundVoxB.ogg,mOrcFemaleWoundVoxC.ogg,,,,,,,,Sound\Character\Orc\Female
212,OrcFemaleCombatInjuryCritical,1.00,mOrcFemaleWoundVoxA.ogg,mOrcFemaleWoundVoxB.ogg,mOrcFemaleWoundVoxC.ogg,,,,,,,,Sound\Character\Orc\Female
213,OrcFemaleCombatDeath,1.00,mOrcFemaleDeathVoxA.ogg,,,,,,,,,,Sound\Character\Orc\Female
215,OrcFemaleCombatStun,1.00,mOrcFemaleStunVoxA.ogg,mOrcFemaleStunVoxB.ogg,,,,,,,,,Sound\Character\Orc\Female
216,OrcFemaleStand,1.00,mOrcFemaleStandVoxA.ogg,mOrcFemaleStandVoxB.ogg,mOrcFemaleStandVoxC.ogg,,,,,,,,Sound\Character\Orc\Female
225,TaurenFemaleCombatExertion,1.00,TaurenFemaleFinalAttackA.ogg,TaurenFemaleFinalAttackB.ogg,TaurenFemaleFinalAttackC.ogg,TaurenFemaleFinalAttackD.ogg,,,,,,,Sound\Character\PlayerExertions\TaurenFemaleFinal
227,TaurenFemaleCombatInjury,1.00,TaurenFemaleFinalWoundA.ogg,TaurenFemaleFinalWoundB.ogg,TaurenFemaleFinalWoundC.ogg,,,,,,,,Sound\Character\PlayerExertions\TaurenFemaleFinal
228,TaurenFemaleCombatInjuryCritica,1.00,TaurenFemaleFinalWoundCritA.ogg,,,,,,,,,,Sound\Character\PlayerExertions\TaurenFemaleFinal
229,TaurenFemaleCombatDeath,1.00,TaurenFemaleFinalDeathA.ogg,,,,,,,,,,Sound\Character\PlayerExertions\TaurenFemaleFinal
231,TaurenFemaleCombatStun,1.00,mTaurenFemaleStunVoxA.ogg,mTaurenFemaleStunVoxB.ogg,mTaurenFemaleStunVoxC.ogg,,,,,,,,Sound\Character\Tauren\Female
232,TaurenFemaleStand,1.00,mTaurenFemaleStandVoxA.ogg,mTaurenFemaleStandVoxB.ogg,mTaurenFemaleStandVoxC.ogg,,,,,,,,Sound\Character\Tauren\Female
233,LightWeaponNormal,0.80,mWooshSmall1.ogg,mWooshSmall2.ogg,mWooshSmall3.ogg,,,,,,,,sound\item\weapons\weaponswings
234,LightWeaponCritical,0.70,mWooshSmallCrit.ogg,,,,,,,,,,Sound\Item\Weapons\WeaponSwings
235,MediumWeaponNormal,0.80,mWooshMedium1.ogg,mWooshMedium2.ogg,mWooshMedium3.ogg,,,,,,,,sound\item\weapons\weaponswings
236,MediumWeaponCritical,0.70,mWooshMediumCrit.ogg,,,,,,,,,,sound\item\weapons\weaponswings
237,HeavyWeaponNormal,0.80,mWooshLarge1.ogg,mWooshLarge2.ogg,mWooshLarge3.ogg,,,,,,,,sound\item\weapons\weaponswings
238,HeavyWeaponCritical,0.75,mWooshLargeCrit.ogg,,,,,,,,,,Sound\Item\Weapons\WeaponSwings
298,AncientProtectorAttack,0.70,mAncientAttack1.ogg,mAncientAttack2.ogg,mAncientAttack3.ogg,,,,,,,,Sound\Creature\AncientProtector
299,AncientProtectorAttackCritical,0.70,mAncientAttack1.ogg,,,,,,,,,,Sound\Creature\AncientProtector
300,AncientProtectorDeath,0.70,mAncientDeath1.ogg,,,,,,,,,,sound\creature\ancientprotector
301,AncientProtectorWound,0.70,mAncientWound1.ogg,mAncientWound2.ogg,mAncientWound3.ogg,,,,,,,,Sound\Creature\AncientProtector
302,AncientProtectorWoundCritical,0.70,mAncientWoundCritical1.ogg,,,,,,,,,,Sound\Creature\AncientProtector
303,AncientProtectorStand,0.70,mAncientStandFidget1.ogg,mAncientStandFidget2.ogg,mAncientStandFidget3.ogg,,,,,,,,Sound\Creature\AncientProtector
305,AncientProtectorFootsteps,0.70,mAncientStep1.ogg,mAncientStep2.ogg,mAncientStep3.ogg,mAncientStep4.ogg,mAncientStep5.ogg,mAncientStep6.ogg,,,,,Sound\Creature\AncientProtector
306,GnollAttack,0.70,mGnollAttack1.ogg,mGnollAttack2.ogg,mGnollAttack3.ogg,mGnollAttack4.ogg,mGnollAttack5.ogg,mGnollAttack6.ogg,mGnollAttack7.ogg,,,,Sound\Creature\Gnoll
307,GnollAttackCritical,0.70,mGnollAttack1.ogg,,,,,,,,,,Sound\Creature\Gnoll
308,GnollDeath,0.70,mGnollDeath1.ogg,,,,,,,,,,Sound\Creature\Gnoll
309,GnollWound,0.70,mGnollWound1.ogg,mGnollWound2.ogg,mGnollWound3.ogg,mGnollWound4.ogg,,,,,,,Sound\Creature\Gnoll
310,GnollWoundCritical,0.70,mGnollWoundCritical1.ogg,,,,,,,,,,Sound\Creature\Gnoll
311,GnollStand,0.70,mGnollFidget1.ogg,mGnollFidget2.ogg,mGnollFidget3.ogg,,,,,,,,Sound\Creature\Gnoll
312,KoboldAttack,0.70,mKoboldAttackA.ogg,mKoboldAttackB.ogg,mKoboldAttackC.ogg,,,,,,,,sound\creature\kobold
314,KoboldDeath,0.70,mKoboldDeathA.ogg,,,,,,,,,,Sound\Creature\Kobold
315,KoboldWound,0.70,mKoboldWoundA.ogg,mKoboldWoundB.ogg,mKoboldWoundC.ogg,,,,,,,,Sound\Creature\Kobold
316,KoboldWoundCritical,0.70,mKoboldWoundCriticalA.ogg,,,,,,,,,,Sound\Creature\Kobold
322,HumanThiefAttack,0.70,mHumanThiefAttack1.ogg,mHumanThiefAttack2.ogg,mHumanThiefAttack3.ogg,mHumanThiefAttack5.ogg,,,,,,,Sound\Creature\Thief
324,HumanThiefDeath,0.70,mHumanThiefDeath1.ogg,,,,,,,,,,Sound\Creature\Thief
325,HumanThiefWound,0.70,mHumanThiefWound1.ogg,mHumanThiefWound2.ogg,mHumanThiefWound3.ogg,,,,,,,,Sound\Creature\Thief
326,HumanThiefWoundCritical,0.70,mHumanThiefWoundCritical1.ogg,,,,,,,,,,Sound\Creature\Thief
335,ArmoredSkeletonAttack,0.70,mArmoredSkeletonAttackA.ogg,mArmoredSkeletonAttackB.ogg,mArmoredSkeletonAttackC.ogg,,,,,,,,Sound\Creature\Skeleton
337,ArmoredSkeletonDeath,0.70,mArmoredSkeletonDeathA.ogg,,,,,,,,,,Sound\Creature\Skeleton
338,ArmoredSkeletonWound,0.70,mArmoredSkeletonWoundA.ogg,mArmoredSkeletonWoundB.ogg,mArmoredSkeletonWoundC.ogg,,,,,,,,Sound\Creature\Skeleton
339,ArmoredSkeletonWoundCritical,0.70,mArmoredSkeletonWoundCriticalA.ogg,,,,,,,,,,Sound\Creature\Skeleton
355,FurbolgAttack,0.70,mFurbolgAttack1.ogg,mFurbolgAttack2.ogg,mFurbolgAttack3.ogg,,,,,,,,Sound\Creature\Furbolg
356,FurbolgAttackCritical,0.70,mFurbolgAttackCritical1.ogg,,,,,,,,,,Sound\Creature\Furbolg
357,FurbolgDeath,0.70,mFurbolgDeath1.ogg,,,,,,,,,,Sound\Creature\Furbolg
358,FurbolgWound,0.70,mFurbolgWound1.ogg,mFurbolgWound2.ogg,mFurbolgWound3.ogg,,,,,,,,Sound\Creature\Furbolg
359,FurbolgWoundCritical,0.70,mFurbolgWoundCritical1.ogg,,,,,,,,,,Sound\Creature\Furbolg
360,FurbolgStand,0.70,mFurbolgStand1.ogg,mFurbolgStand2.ogg,mFurbolgStand3.ogg,,,,,,,,Sound\Creature\Furbolg
367,DragonSpawnAttack,0.70,mDragonSpawnAttack1.ogg,mDragonSpawnAttack2.ogg,mDragonSpawnAttack3.ogg,,,,,,,,Sound\Creature\DragonSpawn
368,DragonSpawnAttackCritical,0.70,mDragonSpawnAttackCritical1.ogg,,,,,,,,,,Sound\Creature\DragonSpawn
369,DragonSpawnDeath,0.70,mDragonSpawnDeath1.ogg,,,,,,,,,,Sound\Creature\DragonSpawn
370,DragonSpawnWound,0.70,mDragonSpawnWound1.ogg,mDragonSpawnWound2.ogg,mDragonSpawnWound3.ogg,,,,,,,,Sound\Creature\DragonSpawn
371,DragonSpawnWoundCritical,0.70,mDragonSpawnWoundCritical1.ogg,,,,,,,,,,Sound\Creature\DragonSpawn
372,DragonSpawnStand,0.70,mDragonSpawnStand1.ogg,mDragonSpawnStand2.ogg,mDragonSpawnStand3.ogg,,,,,,,,Sound\Creature\DragonSpawn
373,TitanMaleAttack,0.90,TitanMaleAttackA.ogg,TitanMaleAttackB.ogg,TitanMaleAttackC.ogg,TitanMaleAttackD.ogg,,,,,,,Sound\Creature\TitanMale
375,TitanMaleDeath,0.90,TitanMaleDeathA.ogg,,,,,,,,,,Sound\Creature\TitanMale
376,TitanMaleWound,0.90,TitanMaleWoundA.ogg,TitanMaleWoundB.ogg,TitanMaleWoundC.ogg,,,,,,,,Sound\Creature\TitanMale
377,TitanMaleWoundCritical,0.90,TitanMaleWoundCritA.ogg,TitanMaleWoundCritB.ogg,,,,,,,,,Sound\Creature\TitanMale
379,BoarAggro,0.70,mWildBoarAggro1.ogg,,,,,,,,,,Sound\Creature\Boar
380,BoarAttack,0.70,mWildBoarAttack1.ogg,mWildBoarAttack2.ogg,mWildBoarAttack3.ogg,,,,,,,,Sound\Creature\Boar
381,BoarWound,0.70,mWildBoarWound1.ogg,mWildBoarWound2.ogg,mWildBoarWound3.ogg,,,,,,,,Sound\Creature\Boar
382,BoarWoundCritical,0.70,mWildBoarWoundCritical1.ogg,,,,,,,,,,Sound\Creature\Boar
383,BoarDeath,0.70,mWildBoarDeath1.ogg,,,,,,,,,,Sound\Creature\Boar
390,WolfAggro,0.70,mWolfAggro3.ogg,,,,,,,,,,Sound\Creature\Wolf
391,WolfAttack,0.70,mWolfAttack6.ogg,mWolfAttack1.ogg,mWolfAttack2.ogg,mWolfAttack3.ogg,mWolfAttack4.ogg,mWolfAttack5.ogg,,,,,Sound\Creature\Wolf
